User_ID,Signup_Date,City,Account_Type,KYC_Status,Trade_ID,Trade_Date,Segment,Buy_Sell,Quantity,Price,Brokerage_Fee,Trade_Value,Revenue,Cost,Profit,Leverage_Used,Margin_Call_Flag,Holding_Time_Hours
U100001,2024-02-15,Hyderabad,Basic,Verified,T700001,2024-07-05,Crypto,Sell,226.75,4146.11,42.21,940130.44,42.21,22.27,19.94,5.19,No,81
U100002,2024-03-17,Kolkata,Basic,Verified,T700002,2024-09-22,F&O,Sell,236.93,271.72,47.94,64378.62,47.94,27.91,20.03,3.61,No,71
U100003,2024-01-04,Mumbai,Basic,Pending,T700003,2024-09-29,Crypto,Buy,264.1,3985.92,29.02,1052681.47,29.02,12.19,16.83,4.48,No,35
U100004,2024-03-20,Hyderabad,Basic,Pending,T700004,2024-06-11,Crypto,Sell,405.46,4251.7,5.08,1723894.28,5.08,2.18,2.9,3.06,No,18
U100005,2024-03-20,Bengaluru,Premium,Verified,T700005,2024-08-02,Equity,Sell,391.13,200.18,5.41,78296.4,5.41,2.55,2.86,4.74,No,117
U100006,2024-02-17,Kolkata,Premium,Pending,T700006,2024-07-14,Crypto,Buy,197.91,3996.95,12.64,791036.37,12.64,6.89,5.75,6.63,Yes,7
U100007,2024-05-07,Pune,Premium,Verified,T700007,2024-07-11,Crypto,Buy,450.12,125.17,18.17,56341.52,18.17,9.86,8.31,6.3,No,13
U100008,2024-03-23,Chennai,Basic,Pending,T700008,2024-08-03,Equity,Sell,152.83,1741.29,26.18,266121.35,26.18,12.29,13.89,1.41,No,90
U100009,2024-04-19,Chennai,Premium,Verified,T700009,2024-10-23,Crypto,Sell,152.56,2892.28,17.45,441246.24,17.45,5.71,11.74,1.36,No,49
U100010,2024-02-16,Bengaluru,Premium,Verified,T700010,2024-06-09,F&O,Sell,197.22,1481.03,17.0,292088.74,17.0,6.17,10.83,2.68,No,94
U100011,2024-04-17,Pune,Premium,Pending,T700011,2024-08-01,F&O,Buy,98.44,969.7,47.11,95457.27,47.11,17.28,29.83,2.41,No,11
U100012,2024-02-08,Hyderabad,Premium,Verified,T700012,2024-08-10,Crypto,Buy,50.26,4301.5,35.98,216193.39,35.98,17.28,18.7,1.26,No,21
U100013,2024-05-18,Kolkata,Premium,Verified,T700013,2024-07-01,Equity,Sell,395.44,3320.69,37.82,1313133.65,37.82,21.89,15.93,6.82,No,4
U100014,2024-02-22,Chennai,Premium,Verified,T700014,2024-07-07,Equity,Buy,166.78,4144.2,24.86,691169.68,24.86,11.89,12.97,3.79,No,92
U100015,2024-03-24,Delhi,Premium,Pending,T700015,2024-10-26,F&O,Sell,378.35,1872.58,32.11,708490.64,32.11,14.04,18.07,6.6,Yes,77
U100016,2024-05-07,Delhi,Premium,Pending,T700016,2024-08-24,Equity,Sell,31.19,4613.75,28.7,143902.86,28.7,9.09,19.61,2.18,No,77
U100017,2024-04-15,Mumbai,Basic,Pending,T700017,2024-08-26,F&O,Sell,263.69,1212.61,26.56,319753.13,26.56,13.83,12.73,3.06,No,50
U100018,2024-02-05,Kolkata,Premium,Verified,T700018,2024-06-03,F&O,Buy,225.08,357.27,37.21,80414.33,37.21,20.75,16.46,2.42,No,109
U100019,2024-04-08,Delhi,Basic,Pending,T700019,2024-06-12,F&O,Sell,24.51,3363.34,34.61,82435.46,34.61,15.63,18.98,3.75,No,66
U100020,2024-02-21,Kolkata,Premium,Pending,T700020,2024-07-24,Crypto,Buy,182.6,1942.61,20.52,354720.59,20.52,7.44,13.08,5.8,No,64
U100021,2024-02-27,Chennai,Basic,Verified,T700021,2024-06-25,Equity,Sell,256.26,3755.44,25.59,962369.05,25.59,10.73,14.86,5.74,Yes,105
U100022,2024-04-14,Bengaluru,Premium,Verified,T700022,2024-07-28,Equity,Sell,31.15,2126.55,30.45,66242.03,30.45,10.06,20.39,4.68,No,109
U100023,2024-01-10,Kolkata,Premium,Verified,T700023,2024-08-30,Equity,Buy,125.0,1760.66,13.79,220082.5,13.79,6.04,7.75,7.17,No,106
